Fecha,SKU,Categoria,Material,Costo_Adquisicion,Precio_Venta,Cantidad,Cliente,Ciudad
2025-06-03,COL-PLA-1530,Collares,Plata 925,36.84,99.95,3,Samanta de Escalona,Barcelona
2025-12-28,PUL-PLA-6254,Pulseras,Plata 925,19.31,53.35,2,Elena Talavera Moll,Teruel
2025-08-12,ANI-ACE-4006,Anillos,Acero 316L,34.36,55.61,2,Obdulia de Miralles,Melilla
2025-08-02,PEN-ACE-6797,Pendientes,Acero 316L,41.37,101.85,1,Heraclio Díez Checa,Toledo
2025-11-01,PEN-ACE-3346,Pendientes,Acero 316L,36.2,84.9,1,Socorro de Ayuso,Cádiz
2026-01-21,ANI-ACE-4240,Anillos,Acero con Baño PVD,29.25,78.75,1,Ema Patricia Nicolau Araujo,Valladolid
2026-04-18,COL-ACE-2404,Collares,Acero 316L,40.23,102.29,1,Aitor Yáñez Nevado,Segovia
2026-02-26,PUL-ACE-4162,Pulseras,Acero 316L,36.75,69.97,1,Efraín Andrés Flores,Palencia
2025-12-21,ANI-ACE-8038,Anillos,Acero con Baño PVD,27.7,58.7,1,Rolando Melero Isern,Melilla
2026-03-10,PEN-PLA-5505,Pendientes,Plata 925,20.61,50.13,1,Olalla Parra-Bonilla,Badajoz
2025-11-11,PEN-PLA-1793,Pendientes,Plata 925,33.44,64.14,1,Angelita Claudia Burgos Domingo,Baleares
2026-04-02,PEN-ACE-7318,Pendientes,Acero 316L,33.67,68.87,1,Nicodemo Bou Arranz,Lugo
2025-07-14,ANI-ACE-7810,Anillos,Acero con Baño PVD,25.77,43.79,3,Juan Luis Lumbreras-Artigas,Lleida
2025-12-06,ANI-PLA-8388,Anillos,Plata 925,44.99,111.92,1,Manu Valera Mosquera,Valladolid
2025-08-02,COL-ACE-8676,Collares,Acero 316L,17.56,42.46,1,Macario Quero Pintor,Lleida
2026-05-31,PEN-ACE-7372,Pendientes,Acero 316L,19.11,57.27,1,Luis de Pino,Cádiz
2026-01-18,COL-ACE-2162,Collares,Acero con Baño PVD,38.99,67.47,3,Augusto del Aroca,Madrid
2026-04-13,PUL-ACE-1481,Pulseras,Acero con Baño PVD,28.64,67.82,2,Lorenzo Uribe,León
2025-10-10,ANI-PLA-4505,Anillos,Plata 925,29.74,47.4,3,Nando de Fortuny,Las Palmas
2025-09-17,PUL-PLA-4170,Pulseras,Plata 925,36.9,73.53,1,Balduino Lucio Pellicer Viñas,Toledo
2026-02-16,PEN-PLA-2399,Pendientes,Plata 925,29.3,62.2,1,José Ángel Ríos Madrid,Navarra
2025-10-18,COL-ACE-5353,Collares,Acero con Baño PVD,24.57,42.28,1,Luciano Quintana Castell,Badajoz
2026-05-04,COL-ACE-8978,Collares,Acero 316L,42.56,91.09,3,Paulina Ortuño Cardona,Palencia
2025-07-14,COL-ACE-6302,Collares,Acero 316L,41.5,66.24,1,Elías Manso Sáez,La Coruña
2025-07-02,COL-ACE-7405,Collares,Acero con Baño PVD,37.45,75.55,1,Flavia Cañete Prada,Girona
2025-06-27,PUL-ACE-8480,Pulseras,Acero con Baño PVD,39.83,77.28,4,María Luisa Cuadrado Reig,Málaga
2025-06-08,PEN-PLA-9378,Pendientes,Plata 925,23.87,37.08,2,Apolonia Lopez Lorenzo,Girona
2025-07-30,COL-ACE-7498,Collares,Acero 316L,16.13,33.67,1,Melchor Almeida,Cantabria
2026-01-25,COL-PLA-5427,Collares,Plata 925,44.35,111.87,1,Osvaldo Ángel,Valladolid
2025-09-29,COL-ACE-1563,Collares,Acero con Baño PVD,33.52,98.47,1,Pánfilo Calixto Galan Burgos,Albacete
2025-07-17,ANI-PLA-2977,Anillos,Plata 925,29.3,66.07,3,Lola del Ortuño,Navarra
2026-03-31,ANI-ACE-7698,Anillos,Acero 316L,32.79,65.82,1,Daniela Campos Cortés,Castellón
2025-12-23,PEN-ACE-1634,Pendientes,Acero 316L,22.91,67.17,1,Carlito Pérez,Zamora
2025-08-28,ANI-ACE-6495,Anillos,Acero con Baño PVD,18.18,38.37,2,Inocencio Guardiola Angulo,Granada
2025-11-06,COL-ACE-2325,Collares,Acero 316L,34.62,60.13,1,Alba Heredia Piñeiro,Jaén
2025-06-06,COL-ACE-2362,Collares,Acero 316L,17.49,36.15,2,Marta Jiménez-Folch,Las Palmas
2026-03-03,COL-ACE-7294,Collares,Acero 316L,17.14,46.26,2,Sara Bustos-Morata,Albacete
2025-12-12,COL-ACE-1973,Collares,Acero con Baño PVD,35.34,71.84,1,Luisina Ibáñez Sedano,Badajoz
2025-08-23,COL-PLA-3910,Collares,Plata 925,39.94,114.38,1,Violeta Seguí Carbonell,La Rioja
2025-08-28,COL-ACE-5546,Collares,Acero con Baño PVD,35.31,89.2,1,Aurelio de Bustamante,Melilla
2025-06-24,PUL-ACE-6038,Pulseras,Acero 316L,42.97,89.39,2,Maximino Oller Aguirre,Barcelona
2025-07-19,ANI-PLA-1794,Anillos,Plata 925,29.94,80.87,1,Amor Camps Nuñez,Teruel
2026-05-20,PUL-PLA-5882,Pulseras,Plata 925,25.36,58.42,4,Zaida Soriano Heredia,Sevilla
2025-08-23,PUL-ACE-8741,Pulseras,Acero 316L,20.75,43.95,1,Jordana Juanita Salgado Gonzalez,Asturias
2025-11-30,COL-ACE-7448,Collares,Acero 316L,16.31,40.36,1,Hipólito Villalonga Zabala,Palencia
2025-06-02,ANI-ACE-5203,Anillos,Acero con Baño PVD,19.71,42.56,1,Juan Pablo Rios Ripoll,Zaragoza
2025-11-08,PEN-PLA-3327,Pendientes,Plata 925,38.18,80.81,1,Ani del Oliver,La Coruña
2025-07-27,COL-ACE-2139,Collares,Acero con Baño PVD,44.31,132.44,2,Gastón Roig Borrell,Barcelona
2025-10-19,COL-ACE-5010,Collares,Acero 316L,29.48,50.98,1,Arturo Gargallo Villena,Zaragoza
